2023-09-20 16:43:53 status half-installed libavif15:amd64 0.11.1-1
2023-09-20 16:43:53 status unpacked libavif15:amd64 0.11.1-1
2023-09-20 16:43:53 install libbsd0:amd64 <none> 0.11.7-2
2023-09-20 16:43:53 status half-installed libbsd0:amd64 0.11.7-2
2023-09-20 16:43:53 status unpacked libbsd0:amd64 0.11.7-2
2023-09-20 16:43:53 install libde265-0:amd64 <none> 1.0.11-1
2023-09-20 16:43:53 status half-installed libde265-0:amd64 1.0.11-1
2023-09-20 16:43:53 status unpacked libde265-0:amd64 1.0.11-1
2023-09-20 16:43:53 install libdeflate0:amd64 <none> 1.14-1
2023-09-20 16:43:53 status half-installed libdeflate0:amd64 1.14-1
2023-09-20 16:43:53 status unpacked libdeflate0:amd64 1.14-1
2023-09-20 16:43:53 install libedit2:amd64 <none> 3.1-20221030-2
2023-09-20 16:43:53 status half-installed libedit2:amd64 3.1-20221030-2
2023-09-20 16:43:53 status unpacked libedit2:amd64 3.1-20221030-2
2023-09-20 16:43:53 install libexpat1:amd64 <none> 2.5.0-1
